x	y	side
15.3785935	25.16055073	left
38.5635375	34.85236226	left
61.49431152	44.53852231	left
84.16821156	56.11236114	left
109.0912319	63.94094084	left
134.8184519	69.99707596	left
161.9838103	74.57541112	left
187.8783283	74.83520285	left
215.2712872	73.88935827	left
242.8464722	63.58309158	left
268.3631856	48.85743341	left
288.0300621	26.29290405	left
298.3925275	-1.414580998	left
305.8803183	-27.47983133	left
307.3890353	-54.41939171	left
307.9819112	-79.72229599	left
308.5647815	-104.9058962	left
307.7340162	-131.0699591	left
305.2911052	-156.6185963	left
302.494827	-181.4887076	left
300.1986744	-206.3851434	left
297.5747867	-231.6072025	left
291.2508728	-261.4024368	left
264.8645554	-283.6326116	left
228.0692932	-285.8955445	left
203.2986017	-257.8477274	left
200.4688374	-227.1924951	left
200.3611513	-202.0683716	left
199.4821381	-176.9778281	left
200.6831094	-151.9759047	left
201.0326944	-128.6003601	left
195.0466748	-107.2205797	left
185.4598759	-84.88824831	left
177.1757045	-62.8643584	left
164.5090903	-53.30790044	left
147.8473093	-54.17214182	left
123.9017534	-59.91247343	left
99.73238798	-65.92621563	left
75.18783808	-71.79994226	left
50.83664137	-76.64925173	left
28.60737505	-83.17183805	left
6.388848304	-92.71500822	left
-15.96362106	-103.2569838	left
-38.33849082	-114.3698404	left
-60.74680467	-125.443496	left
-82.47714113	-136.672986	left
-103.0056399	-148.7092575	left
-117.7040579	-163.8221386	left
-129.4690535	-182.4873443	left
-131.8433351	-199.5530042	left
-123.7993244	-218.8326284	left
-114.9072807	-233.5890005	left
-96.61111979	-242.8414967	left
-73.69272786	-249.58347	left
-49.45543611	-256.7691012	left
-25.58040985	-263.9740862	left
-1.692408526	-270.4358347	left
22.51373649	-276.6747857	left
46.89266925	-283.2609621	left
70.91149648	-290.8791481	left
96.12929828	-299.0555429	left
119.0416909	-310.6878352	left
141.2219461	-322.8350539	left
163.2092678	-334.8435892	left
185.1611973	-346.7889492	left
207.1367923	-358.6841705	left
229.1373513	-370.5305221	left
251.1641763	-382.3292755	left
273.5211602	-393.5092724	left
295.9343174	-404.5992869	left
318.2662365	-415.8636117	left
340.5637033	-427.2129288	left
362.8604308	-438.581581	left
385.1823789	-449.9253376	left
407.5972795	-461.1503055	left
429.6391128	-473.1419095	left
451.4186146	-485.6791163	left
473.1151818	-498.4245794	left
495.1102304	-512.0071913	left
516.3426939	-530.0385026	left
533.6895751	-551.2551314	left
544.6077268	-577.6446121	left
548.5500886	-605.6969153	left
545.4075061	-633.4780882	left
537.2113887	-659.111755	left
527.4451526	-682.5761475	left
517.9032201	-705.6474005	left
508.4626199	-728.8224349	left
498.888847	-752.0334674	left
489.8042405	-775.4728051	left
481.1327167	-799.0440874	left
472.4272886	-822.4679644	left
463.8956568	-845.9600012	left
450.3736288	-872.0458014	left
418.6695745	-889.476689	left
391.620302	-891.85127	left
366.9675916	-894.8981631	left
342.216922	-897.7838733	left
314.6460575	-898.9455646	left
285.4021534	-891.9715074	left
262.585255	-879.5660278	left
240.1601235	-868.5309074	left
217.5333459	-858.3978307	left
193.2505808	-849.8589588	left
170.1187005	-836.2218952	left
147.9904453	-820.303422	left
131.4567708	-799.4961695	left
115.6183059	-779.6914458	left
100.0670137	-760.647481	left
82.79212466	-737.4236211	left
82.42297408	-706.5213051	left
83.79668122	-681.5637053	left
87.72793218	-655.399161	left
95.18447131	-630.5035668	left
102.5190978	-606.5000126	left
109.2811764	-582.6826	left
115.2221401	-558.3984893	left
122.0027596	-534.3705102	left
128.2404058	-511.5716942	left
122.9412631	-494.7793762	left
108.7021267	-484.1838981	left
85.59589148	-476.1116953	left
62.70580302	-466.1686957	left
39.66520395	-456.5213269	left
16.38802489	-447.4320539	left
-6.913311623	-438.3556072	left
-30.22847321	-429.2473195	left
-53.53381505	-420.0705472	left
-76.70661463	-410.5806457	left
-99.84289441	-401.0248609	left
-122.9638399	-391.4606266	left
-146.0760918	-381.9091509	left
-169.3080627	-372.6766377	left
-192.7122364	-363.8768762	left
-216.100908	-355.1404092	left
-239.6054071	-346.6357455	left
-266.560182	-336.388094	left
-286.4689481	-311.3088313	left
-295.9252927	-284.0162912	left
-300.1892378	-255.1051684	left
-296.868779	-227.2688281	left
-291.0581052	-201.8896477	left
-280.7760156	-175.5763811	left
